Season,TeamName,eFGPct,TOPct,ORPct,FTRate
2026,Duke,46.2,18.1,75.2,23.7
2026,Michigan,44.4,15.8,72.2,25.9
2026,Arizona,45.0,16.7,73.1,27.7
2026,Florida,46.3,15.4,75.2,34.0
2026,Houston,46.6,21.0,69.1,39.0
2026,Illinois,47.6,11.6,73.0,20.6
2026,Iowa St.,49.5,22.4,71.9,27.9
2026,Purdue,52.3,15.7,73.8,26.6
2026,Connecticut,45.7,18.0,71.3,40.2
2026,Vanderbilt,48.3,18.0,68.1,41.4
2026,Gonzaga,46.2,20.5,74.1,31.0
2026,Michigan St.,48.6,14.8,77.4,30.9
2026,Texas Tech,49.4,14.7,69.9,31.6
2026,Virginia,45.3,15.6,70.8,33.0
2026,St. John's,47.4,19.4,69.8,31.8
2026,Tennessee,47.7,16.3,72.1,36.2
2026,Louisville,48.8,16.7,73.1,33.4
2026,Alabama,49.2,12.6,67.2,32.7
2026,Nebraska,47.8,19.2,72.3,24.8
2026,Arkansas,51.5,15.9,68.5,31.6
2026,Wisconsin,51.3,14.4,71.8,30.5
2026,Kansas,45.2,14.0,69.9,27.7
2026,Ohio St.,50.3,15.8,70.0,35.1
2026,Saint Mary's,46.7,15.2,76.2,25.7
2026,UCLA,50.4,18.1,67.6,34.7
2026,Iowa,52.7,21.0,72.0,39.1
2026,North Carolina,48.2,13.6,71.9,23.8
2026,Santa Clara,51.8,20.1,67.7,38.3
2026,Utah St.,49.6,20.6,67.8,38.9
2026,Clemson,48.9,17.5,74.3,33.1
2026,Kentucky,48.8,15.8,69.9,37.0
2026,Cincinnati,47.3,18.2,72.7,30.0
2026,BYU,51.2,16.5,70.7,28.9
2026,Indiana,49.0,15.1,70.7,37.0
2026,Miami FL,51.7,18.4,73.7,29.0
2026,Villanova,51.3,18.7,68.3,28.9
2026,Georgia,50.1,18.4,65.1,30.8
2026,N.C. State,53.0,18.2,69.7,36.5
2026,Texas A&M,50.8,18.3,67.5,35.6
2026,Oklahoma,51.2,15.3,67.0,34.0
2026,Auburn,53.6,16.3,67.9,35.4
2026,SMU,51.4,17.1,68.4,32.0
2026,Saint Louis,44.8,16.1,73.0,37.2
2026,San Diego St.,48.2,20.3,68.9,38.5
2026,Texas,51.2,13.4,73.1,40.7
2026,Missouri,51.4,16.6,68.6,35.1
2026,Baylor,52.5,16.1,67.8,30.2
2026,TCU,51.0,19.7,70.8,30.4
2026,VCU,48.8,17.2,69.9,33.1
2026,Florida St.,52.2,19.0,65.9,32.7
2026,South Florida,48.7,18.8,68.1,38.9
2026,Washington,50.2,14.3,71.5,31.0
2026,Virginia Tech,50.8,17.2,67.4,28.8
2026,New Mexico,49.6,19.1,72.4,34.9
2026,Grand Canyon,47.4,17.3,74.7,39.0
2026,Boise St.,52.7,14.5,76.4,32.1
2026,UCF,52.4,15.8,71.5,35.2
2026,Minnesota,51.9,17.1,70.2,27.3
2026,Stanford,51.2,18.3,69.9,40.3
2026,Seton Hall,47.3,21.5,68.1,42.1
2026,Arizona St.,52.4,18.5,65.1,34.3
2026,West Virginia,48.3,18.1,71.0,29.2
2026,Northwestern,51.0,17.5,65.3,34.8
2026,Mississippi,50.5,16.4,67.4,41.2
2026,Tulsa,49.9,15.5,71.0,32.0
2026,USC,49.7,16.3,67.8,33.4
2026,Wake Forest,52.0,17.8,67.1,36.2
2026,California,49.6,16.1,69.7,37.2
2026,LSU,50.9,13.9,68.3,37.8
2026,Northern Iowa,47.2,18.1,73.7,29.3
2026,Akron,50.6,18.4,70.1,30.3
2026,Butler,51.9,15.1,70.0,24.9
2026,McNeese St.,48.9,24.6,65.0,42.1
2026,Providence,51.4,13.1,69.2,32.7
2026,Oklahoma St.,52.9,16.0,69.3,32.5
2026,Marquette,50.6,19.3,65.3,32.0
2026,Colorado,52.9,15.4,70.2,36.3
2026,Dayton,50.9,21.6,70.3,35.8
2026,Georgetown,49.9,16.2,68.5,33.9
2026,Nevada,51.0,17.4,72.8,40.3
2026,Belmont,49.9,17.4,70.8,30.7
2026,Syracuse,50.3,17.4,66.4,32.6
2026,George Washington,52.3,17.8,71.9,34.9
2026,Wichita St.,47.4,16.0,70.7,34.5
2026,Creighton,51.1,14.0,70.3,24.6
2026,Miami OH,50.8,17.5,71.9,30.9
2026,Utah Valley,49.0,21.2,68.6,39.3
2026,Colorado St.,53.1,15.3,71.0,34.2
2026,Stephen F. Austin,47.9,17.6,71.4,30.0
2026,Oregon,50.9,15.7,67.7,32.0
2026,Hofstra,45.9,15.0,69.5,35.4
2026,Yale,52.0,16.4,70.8,27.1
2026,High Point,50.1,21.9,68.3,36.4
2026,Xavier,54.1,15.5,70.5,32.6
2026,Wyoming,52.2,16.7,72.5,48.4
2026,Cal Baptist,46.4,17.1,72.8,37.1
2026,Notre Dame,51.8,14.0,73.3,36.2
2026,Mississippi St.,50.9,12.8,69.3,32.3
2026,Saint Joseph's,47.6,15.2,69.1,26.3
2026,South Carolina,51.6,14.6,67.9,34.0
2026,DePaul,49.3,18.6,68.9,37.8
2026,Pittsburgh,53.4,16.2,71.9,30.9
2026,Kansas St.,52.5,17.1,66.1,35.2
2026,Seattle,48.3,21.1,68.2,32.9
2026,Sam Houston St.,51.0,16.4,70.0,37.1
2026,Davidson,50.4,17.8,69.6,36.6
2026,Pacific,50.0,15.1,75.0,36.3
2026,UC Irvine,45.4,18.5,68.5,26.8
2026,UNLV,52.6,17.3,68.5,45.3
2026,Illinois St.,50.0,16.4,74.7,33.1
2026,Illinois Chicago,49.9,19.6,67.9,34.3
2026,St. Thomas,50.9,17.1,72.9,30.4
2026,Maryland,54.4,14.9,70.9,35.8
2026,North Dakota St.,51.5,18.7,74.3,29.1
2026,Utah,53.9,13.3,68.4,29.9
2026,Hawaii,46.4,16.9,75.0,36.1
2026,Rutgers,53.0,17.1,66.9,31.4
2026,George Mason,49.4,15.6,71.7,28.6
2026,UT Rio Grande Valley,47.8,16.3,67.9,38.9
2026,Liberty,53.1,17.2,67.4,26.2
2026,Duquesne,52.5,18.3,70.4,39.9
2026,UC San Diego,48.4,16.8,73.0,29.3
2026,Florida Atlantic,49.5,15.5,71.7,36.2
2026,San Francisco,50.8,14.1,71.0,29.6
2026,Washington St.,52.6,14.6,71.8,33.0
2026,UNC Wilmington,47.2,15.0,73.3,31.8
2026,UC Santa Barbara,52.6,16.8,74.5,42.4
2026,Montana St.,51.7,15.7,71.8,29.6
2026,Southern Illinois,49.0,18.5,72.7,31.4
2026,Wright St.,52.1,16.5,70.8,33.5
2026,Fresno St.,51.5,18.2,69.4,28.6
2026,Toledo,54.3,17.8,66.3,26.6
2026,Memphis,48.7,18.5,64.4,42.4
2026,Bradley,52.6,19.3,71.8,37.8
2026,Murray St.,52.3,16.0,68.7,32.9
2026,Idaho,50.3,15.2,75.8,39.2
2026,UAB,50.0,16.1,72.3,28.7
2026,Northern Colorado,50.1,12.4,75.8,38.8
2026,Boston College,48.9,14.9,71.4,34.6
2026,Penn St.,58.4,17.7,68.9,27.5
2026,North Texas,48.4,21.3,67.6,45.1
2026,Troy,50.1,16.9,68.4,32.1
2026,Temple,50.7,15.5,69.7,35.5
2026,Central Arkansas,54.9,19.0,72.6,30.1
2026,Kennesaw St.,48.5,16.1,68.7,47.5
2026,Arkansas St.,50.3,14.9,73.0,37.0
2026,Penn,51.7,17.8,69.5,27.5
2026,Loyola Marymount,48.9,16.6,68.0,32.5
2026,Navy,48.0,18.3,73.1,25.6
2026,Eastern Washington,54.9,16.2,69.2,37.3
2026,Robert Morris,50.0,15.9,71.2,40.1
2026,Rhode Island,50.4,21.1,68.2,42.6
2026,Bowling Green,51.0,18.4,73.1,37.2
2026,St. Bonaventure,53.3,17.1,70.2,33.9
2026,Cornell,55.9,15.1,69.4,37.2
2026,Middle Tennessee,51.0,15.0,71.5,35.7
2026,Kent St.,52.1,16.4,70.4,39.8
2026,Portland St.,48.8,18.0,73.6,42.8
2026,Austin Peay,52.2,17.9,71.1,32.8
2026,Georgia Tech,49.9,15.6,69.3,34.2
2026,William & Mary,51.9,19.0,68.5,35.5
2026,Oregon St.,50.3,15.3,67.9,35.1
2026,Valparaiso,50.5,16.9,69.9,35.1
2026,UC Davis,51.7,19.8,69.5,39.1
2026,Harvard,50.4,17.1,71.8,26.6
2026,Montana,50.5,14.3,70.4,32.6
2026,Cal St. Northridge,51.6,16.4,73.4,34.3
2026,Richmond,52.0,17.7,69.0,35.1
2026,Western Kentucky,51.2,17.2,70.5,46.8
2026,Merrimack,46.7,20.4,60.1,37.1
2026,Monmouth,50.1,19.9,67.2,32.2
2026,Charlotte,50.9,13.6,67.5,36.2
2026,Winthrop,51.4,16.7,72.3,39.0
2026,Massachusetts,52.9,16.8,73.9,44.6
2026,Towson,48.5,15.1,70.9,29.3
2026,FIU,52.9,20.1,65.2,35.9
2026,Fordham,49.9,17.2,73.2,30.3
2026,Oakland,54.7,15.1,65.6,24.6
2026,Northern Kentucky,54.2,18.6,68.4,37.2
2026,Green Bay,53.6,13.2,70.4,37.4
2026,Texas A&M Corpus Chris,50.1,19.0,71.2,46.3
