Season,TeamName,eFGPct,TOPct,ORPct,FTRate
2026,Duke,56.8,15.7,38.1,37.8
2026,Michigan,58.2,16.9,35.4,38.6
2026,Arizona,55.1,15.1,38.1,42.9
2026,Florida,53.5,16.5,43.2,39.1
2026,Houston,52.1,13.0,35.9,26.9
2026,Illinois,55.1,13.2,38.7,32.9
2026,Iowa St.,56.5,15.1,35.3,34.0
2026,Purdue,57.7,13.8,36.7,28.3
2026,Connecticut,55.3,16.8,35.7,30.0
2026,Vanderbilt,55.6,13.4,31.4,38.7
2026,Gonzaga,56.3,13.7,34.8,31.1
2026,Michigan St.,53.6,17.1,38.5,36.2
2026,Texas Tech,56.2,15.9,33.3,27.1
2026,Virginia,54.6,16.0,37.9,33.0
2026,St. John's,51.0,14.7,35.9,41.9
2026,Tennessee,51.6,17.1,45.1,38.7
2026,Louisville,56.4,16.4,32.9,33.5
2026,Alabama,55.4,13.0,31.8,37.2
2026,Nebraska,55.4,14.4,26.3,27.2
2026,Arkansas,56.3,12.2,32.6,36.7
2026,Wisconsin,54.5,12.8,29.4,31.9
2026,Kansas,51.6,15.5,29.5,32.6
2026,Ohio St.,56.5,15.4,30.8,37.8
2026,Saint Mary's,52.9,16.4,37.6,35.8
2026,UCLA,53.9,13.4,31.1,33.1
2026,Iowa,56.6,15.2,30.1,34.5
2026,North Carolina,54.6,14.0,31.4,37.4
2026,Santa Clara,54.6,15.6,36.7,25.8
2026,Utah St.,56.6,15.4,33.1,38.7
2026,Clemson,52.6,14.2,28.1,37.1
2026,Kentucky,53.1,15.0,33.8,37.5
2026,Cincinnati,50.5,17.0,30.6,29.4
2026,BYU,54.7,15.3,34.6,34.2
2026,Indiana,56.1,15.1,26.9,35.0
2026,Miami FL,55.6,16.2,37.0,37.5
2026,Villanova,53.7,15.1,32.4,31.3
2026,Georgia,54.6,14.3,35.2,37.0
2026,N.C. State,55.3,13.1,28.5,35.2
2026,Texas A&M,54.2,14.6,32.3,37.4
2026,Oklahoma,55.1,14.4,33.6,35.9
2026,Auburn,52.3,14.7,37.6,44.7
2026,SMU,55.7,15.9,35.4,30.6
2026,Saint Louis,59.7,17.4,31.1,34.7
2026,San Diego St.,52.7,17.2,29.5,39.0
2026,Texas,54.2,15.3,35.7,46.2
2026,Missouri,55.3,18.0,35.5,42.5
2026,Baylor,53.8,16.5,37.5,34.8
2026,TCU,50.9,15.5,34.4,38.7
2026,VCU,54.2,15.4,32.8,44.0
2026,Florida St.,52.3,15.2,30.8,34.7
2026,South Florida,51.2,15.2,38.4,41.2
2026,Washington,51.2,15.3,34.6,30.1
2026,Virginia Tech,52.2,14.9,31.9,34.0
2026,New Mexico,53.6,15.3,30.3,36.2
2026,Grand Canyon,51.7,17.6,31.3,39.5
2026,Boise St.,52.2,16.9,33.2,42.7
2026,UCF,52.8,15.7,34.4,30.8
2026,Minnesota,54.2,16.6,27.2,35.9
2026,Stanford,51.7,15.5,32.3,35.7
2026,Seton Hall,47.6,16.7,35.6,35.3
2026,Arizona St.,51.1,17.1,29.8,39.5
2026,West Virginia,51.1,17.5,31.0,35.5
2026,Northwestern,51.7,13.0,28.1,33.9
2026,Mississippi,50.4,14.0,28.3,33.0
2026,Tulsa,56.5,15.2,32.0,40.9
2026,USC,50.4,17.4,32.4,44.2
2026,Wake Forest,52.6,15.4,29.7,35.1
2026,California,52.2,15.0,25.8,37.3
2026,LSU,52.8,15.6,33.1,40.9
2026,Northern Iowa,54.2,14.6,22.0,25.7
2026,Akron,58.5,15.5,33.5,29.1
2026,Butler,50.9,15.9,34.6,42.1
2026,McNeese St.,51.0,14.3,35.0,38.3
2026,Providence,55.0,16.7,31.7,36.7
2026,Oklahoma St.,52.1,15.9,31.3,39.4
2026,Marquette,50.5,16.0,29.7,32.8
2026,Colorado,53.2,14.5,29.0,35.8
2026,Dayton,51.8,17.4,27.1,47.5
2026,Georgetown,49.6,15.8,32.5,37.3
2026,Nevada,49.7,14.9,32.1,46.6
2026,Belmont,61.0,18.1,28.8,32.5
2026,Syracuse,52.6,16.0,29.2,35.1
2026,George Washington,54.6,17.9,36.2,35.5
2026,Wichita St.,49.8,14.8,38.5,36.1
