Season,TeamName,Seed,AdjEM,AdjOE,AdjDE,AdjTempo
2026,Duke,16,37.3,128.1,90.8,0.0
2026,Michigan,16,37.2,127.7,90.5,0.0
2026,Arizona,16,35.6,126.9,91.3,0.0
2026,Florida,16,33.9,126.1,92.2,0.0
2026,Houston,16,33.0,125.3,92.3,0.0
2026,Illinois,16,33.7,131.9,98.2,0.0
2026,Iowa St.,16,31.2,123.8,92.6,0.0
2026,Purdue,16,32.4,132.6,100.2,0.0
2026,Connecticut,16,28.2,123.1,94.9,0.0
2026,Vanderbilt,16,28.6,127.8,99.2,0.0
2026,Gonzaga,16,26.3,120.3,94.0,0.0
2026,Michigan St.,16,26.8,122.9,96.1,0.0
2026,Texas Tech,16,27.6,126.3,98.7,0.0
2026,Virginia,16,26.4,122.2,95.8,0.0
2026,St. John's,16,25.7,119.8,94.1,0.0
2026,Tennessee,16,26.1,121.5,95.4,0.0
2026,Louisville,16,25.9,124.0,98.1,0.0
2026,Alabama,16,26.7,129.4,102.7,0.0
2026,Nebraska,16,23.7,117.2,93.5,0.0
2026,Arkansas,16,25.9,127.8,101.9,0.0
2026,Wisconsin,16,25.6,127.2,101.6,0.0
2026,Kansas,16,23.5,117.8,94.3,0.0
2026,Ohio St.,16,23.6,125.2,101.6,0.0
2026,Saint Mary's,16,21.8,119.3,97.5,0.0
2026,UCLA,16,22.8,124.5,101.7,0.0
2026,Iowa,16,21.9,122.1,100.2,0.0
2026,North Carolina,16,21.4,121.4,100.0,0.0
2026,Santa Clara,16,21.3,125.0,103.7,0.0
2026,Utah St.,16,21.0,123.0,102.0,0.0
2026,Clemson,16,19.6,116.5,96.9,0.0
2026,Kentucky,16,20.0,119.9,99.9,0.0
2026,Cincinnati,16,18.7,112.3,93.6,0.0
2026,BYU,16,20.4,124.7,104.3,0.0
2026,Indiana,16,19.8,121.9,102.1,0.0
2026,Miami FL,16,19.7,121.1,101.4,0.0
2026,Villanova,16,19.1,119.6,100.5,0.0
2026,Georgia,16,19.6,124.3,104.7,0.0
2026,N.C. State,16,19.4,124.0,104.6,0.0
2026,Texas A&M,16,18.6,119.9,101.3,0.0
2026,Oklahoma,16,19.3,125.1,105.8,0.0
2026,Auburn,16,18.5,124.2,105.7,0.0
2026,SMU,16,18.1,123.0,104.9,0.0
2026,Saint Louis,16,17.4,119.5,102.1,0.0
2026,San Diego St.,16,16.2,112.2,96.0,0.0
2026,Texas,16,17.7,124.0,106.3,0.0
2026,Missouri,16,16.9,119.9,103.0,0.0
2026,Baylor,16,16.8,123.3,106.5,0.0
2026,TCU,16,15.2,114.8,99.6,0.0
2026,VCU,16,15.6,119.1,103.5,0.0
2026,Florida St.,16,15.5,119.4,103.9,0.0
2026,South Florida,16,14.9,117.1,102.2,0.0
2026,Washington,16,14.6,116.8,102.2,0.0
2026,Virginia Tech,16,14.6,117.6,103.0,0.0
2026,New Mexico,16,14.4,116.4,102.0,0.0
2026,Grand Canyon,16,13.5,111.0,97.5,0.0
2026,Boise St.,16,14.4,118.1,103.7,0.0
2026,UCF,16,14.4,120.0,105.6,0.0
2026,Minnesota,16,13.8,115.9,102.1,0.0
2026,Stanford,16,13.4,117.0,103.6,0.0
2026,Seton Hall,16,12.4,108.7,96.3,0.0
2026,Arizona St.,16,12.9,115.2,102.3,0.0
2026,West Virginia,16,11.9,108.5,96.6,0.0
2026,Northwestern,16,12.7,116.4,103.7,0.0
2026,Mississippi,16,12.4,114.0,101.6,0.0
2026,Tulsa,16,12.7,120.8,108.1,0.0
2026,USC,16,11.9,113.1,101.2,0.0
2026,Wake Forest,16,12.3,117.9,105.6,0.0
2026,California,16,11.7,113.8,102.1,0.0
2026,LSU,16,12.1,118.8,106.7,0.0
